Conta:;14154 - 2.1.1.01.001 - 6M BRASIL IMPORTACAO E EXPORTACAO LTDA;;;;;
19/10/2023;NOTA FISCAL N§ 613962 ;3152;1023-00000874;;223,36;512.196,48C
19/10/2023;NOTA FISCAL N§ 615066 ;3152;1023-00000875;;1.396,61;513.593,09C
20/10/2023;NOTA FISCAL N§ 615806 ;3152;1023-00000626;;446,9;514.039,99C
20/10/2023;NOTA FISCAL N§ 615493 ;3152;1023-00000639;;92,16;514.132,15C
20/10/2023;NOTA FISCAL N§ 615623 ;3152;1023-00000773;;444,98;514.577,13C
20/10/2023;NOTA FISCAL N§ 615538 ;3152;1023-00000790;;488,29;515.065,42C
20/10/2023;NOTA FISCAL N§ 615593 ;3152;1023-00000802;;99,61;515.165,03C
20/10/2023;NOTA FISCAL N§ 615806 ;3152;1023-00000815;;322,74;515.487,77C
20/10/2023;NOTA FISCAL N§ 615493 ;3152;1023-00000833;;467,33;515.955,10C
20/10/2023;NOTA FISCAL N§ 615464 ;3152;1023-00000846;;173,5;516.128,60C
24/10/2023;NOTA FISCAL N§ 616945 ;3152;1023-00000785;;556,13;516.684,73C
24/10/2023;NOTA FISCAL N§ 616973 ;3152;1023-00000788;;165,59;516.850,32C
24/10/2023;NOTA FISCAL N§ 617067 ;3152;1023-00000792;;99,62;516.949,94C
24/10/2023;NOTA FISCAL N§ 616467 ;3152;1023-00000809;;120,47;517.070,41C
24/10/2023;NOTA FISCAL N§ 616960 ;3152;1023-00000812;;2.488,60;519.559,01C
25/10/2023;NOTA FISCAL N§ 617419 ;3152;1023-00000795;;237,9;519.796,91C
25/10/2023;NOTA FISCAL N§ 616664 ;3152;1023-00000879;;93,47;519.890,38C
27/10/2023;NOTA FISCAL N§ 618161 ;3152;1023-00000629;;116,97;520.007,35C
27/10/2023;NOTA FISCAL N§ 618095 ;3152;1023-00000860;;142,74;520.150,09C
28/10/2023;NOTA FISCAL N§ 619079 ;3152;1023-00000816;;1.165,61;521.315,70C
28/10/2023;NOTA FISCAL N§ 619083 ;3152;1023-00000863;;50,77;521.366,47C
30/10/2023;NOTA FISCAL N§ 618630 ;3152;1023-00000885;;67,7;521.434,17C
30/10/2023;NOTA FISCAL N§ 619242 ;3152;1023-00000886;;441,01;521.875,18C
01/11/2023;NOTA FISCAL N§ 619587 ;3152;1123-00000690;;40,68;521.915,86C
01/11/2023;NOTA FISCAL N§ 620084 ;3152;1123-00000719;;169,73;522.085,59C
01/11/2023;NOTA FISCAL N§ 620054 ;3152;1123-00000733;;212,78;522.298,37C
01/11/2023;NOTA FISCAL N§ 620896 ;3152;1123-00000790;;108,02;522.406,39C
01/11/2023;NOTA FISCAL N§ 619703 ;3152;1123-00000837;;33,94;522.440,33C
06/11/2023;NOTA FISCAL N§ 622308 ;3152;1123-00000496;;2.132,23;524.572,56C
06/11/2023;NOTA FISCAL N§ 622227 ;3152;1123-00000686;;442,09;525.014,65C
06/11/2023;NOTA FISCAL N§ 622262 ;3152;1123-00000694;;325,88;525.340,53C
06/11/2023;NOTA FISCAL N§ 622308 ;3152;1123-00000723;;253,9;525.594,43C
06/11/2023;NOTA FISCAL N§ 622322 ;3152;1123-00000725;;1.929,35;527.523,78C
06/11/2023;NOTA FISCAL N§ 622029 ;3152;1123-00000769;;42,34;527.566,12C
06/11/2023;NOTA FISCAL N§ 622313 ;3152;1123-00000820;;1.072,60;528.638,72C
06/11/2023;NOTA FISCAL N§ 622274 ;3152;1123-00000863;;1.389,72;530.028,44C
07/11/2023;NOTA FISCAL N§ 622765 ;3152;1123-00000682;;48,34;530.076,78C
07/11/2023;NOTA FISCAL N§ 623351 ;3152;1123-00000692;;285,99;530.362,77C
07/11/2023;NOTA FISCAL N§ 623218 ;3152;1123-00000736;;20,31;530.383,08C
07/11/2023;NOTA FISCAL N§ 622814 ;3152;1123-00000746;;215,06;530.598,14C
08/11/2023;NOTA FISCAL N§ 624001 ;3152;1123-00000484;;75,9;530.674,04C
08/11/2023;NOTA FISCAL N§ 623887 ;3152;1123-00000703;;507,71;531.181,75C
08/11/2023;NOTA FISCAL N§ 624001 ;3152;1123-00000771;;380,38;531.562,13C
09/11/2023;NOTA FISCAL N§ 624924 ;3152;1123-00000708;;540,79;532.102,92C
09/11/2023;NOTA FISCAL N§ 624721 ;3152;1123-00000727;;218,92;532.321,84C
09/11/2023;NOTA FISCAL N§ 624870 ;3152;1123-00000776;;393,08;532.714,92C
10/11/2023;NOTA FISCAL N§ 625349 ;3152;1123-00000714;;355,02;533.069,94C
13/11/2023;NOTA FISCAL N§ 625931 ;3152;1123-00000481;;46,25;533.116,19C
13/11/2023;NOTA FISCAL N§ 626240 ;3152;1123-00000699;;1.211,78;534.327,97C
13/11/2023;NOTA FISCAL N§ 625931 ;3152;1123-00000722;;253,64;534.581,61C
13/11/2023;NOTA FISCAL N§ 626402 ;3152;1123-00000843;;170,66;534.752,27C
14/11/2023;NOTA FISCAL N§ 627181 ;3152;1123-00000486;;85,97;534.838,24C
14/11/2023;NOTA FISCAL N§ 626977 ;3152;1123-00000683;;149,59;534.987,83C
14/11/2023;NOTA FISCAL N§ 626883 ;3152;1123-00000721;;47,61;535.035,44C
14/11/2023;NOTA FISCAL N§ 627499 ;3152;1123-00000745;;246,78;535.282,22C
14/11/2023;NOTA FISCAL N§ 627278 ;3152;1123-00000747;;589,79;535.872,01C
14/11/2023;NOTA FISCAL N§ 627034 ;3152;1123-00000763;;172,4;536.044,41C
14/11/2023;NOTA FISCAL N§ 627181 ;3152;1123-00000765;;193,35;536.237,76C
14/11/2023;NOTA FISCAL N§ 627198 ;3152;1123-00000813;;1.086,21;537.323,97C
16/11/2023;NOTA FISCAL N§ 627658 ;3152;1123-00000482;;329,14;537.653,11C
16/11/2023;NOTA FISCAL N§ 628076 ;3152;1123-00000492;;64,9;537.718,01C
16/11/2023;NOTA FISCAL N§ 627920 ;3152;1123-00000689;;991,78;538.709,79C
16/11/2023;NOTA FISCAL N§ 628311 ;3152;1123-00000712;;896,91;539.606,70C
16/11/2023;NOTA FISCAL N§ 627831 ;3152;1123-00000740;;662,7;540.269,40C
16/11/2023;NOTA FISCAL N§ 627640 ;3152;1123-00000743;;74,97;540.344,37C
16/11/2023;NOTA FISCAL N§ 628076 ;3152;1123-00000759;;659,99;541.004,36C
16/11/2023;NOTA FISCAL N§ 628277 ;3152;1123-00000796;;31,53;541.035,89C
16/11/2023;NOTA FISCAL N§ 628045 ;3152;1123-00000855;;205,25;541.241,14C
16/11/2023;NOTA FISCAL N§ 628003 ;3152;1123-00000858;;61,23;541.302,37C
17/11/2023;NOTA FISCAL N§ 629042 ;3152;1123-00000758;;290,49;541.592,86C
17/11/2023;NOTA FISCAL N§ 628108 ;3152;1123-00000830;;107,29;541.700,15C
18/11/2023;NOTA FISCAL N§ 628707 ;3152;1123-00000479;;10,58;541.710,73C
18/11/2023;NOTA FISCAL N§ 629114 ;3152;1123-00000507;;86,08;541.796,81C
18/11/2023;NOTA FISCAL N§ 629009 ;3152;1123-00000684;;2.708,44;544.505,25C
18/11/2023;NOTA FISCAL N§ 629114 ;3152;1123-00000698;;89,11;544.594,36C
18/11/2023;NOTA FISCAL N§ 629148 ;3152;1123-00000768;;134,7;544.729,06C
18/11/2023;NOTA FISCAL N§ 628477 ;3152;1123-00000810;;37,56;544.766,62C
18/11/2023;NOTA FISCAL N§ 628707 ;3152;1123-00000828;;245,64;545.012,26C
20/11/2023;NOTA FISCAL N§ 629975 ;3152;1123-00000485;;56,73;545.068,99C
20/11/2023;NOTA FISCAL N§ 629609 ;3152;1123-00000688;;574,09;545.643,08C
20/11/2023;NOTA FISCAL N§ 629975 ;3152;1123-00000707;;137,5;545.780,58C
20/11/2023;NOTA FISCAL N§ 629901 ;3152;1123-00000726;;409,76;546.190,34C
20/11/2023;NOTA FISCAL N§ 629367 ;3152;1123-00000730;;309,28;546.499,62C
20/11/2023;NOTA FISCAL N§ 629566 ;3152;1123-00000739;;861,12;547.360,74C
20/11/2023;NOTA FISCAL N§ 629283 ;3152;1123-00000749;;66,71;547.427,45C
20/11/2023;NOTA FISCAL N§ 629617 ;3152;1123-00000839;;608,54;548.035,99C
21/11/2023;NOTA FISCAL N§ 630512 ;3152;1123-00000687;;274,04;548.310,03C
21/11/2023;NOTA FISCAL N§ 630049 ;3152;1123-00000709;;66,71;548.376,74C
21/11/2023;NOTA FISCAL N§ 630043 ;3152;1123-00000711;;99,73;548.476,47C
21/11/2023;NOTA FISCAL N§ 630601 ;3152;1123-00000716;;299,41;548.775,88C
21/11/2023;NOTA FISCAL N§ 630172 ;3152;1123-00000718;;199,5;548.975,38C
21/11/2023;NOTA FISCAL N§ 630417 ;3152;1123-00000808;;117,02;549.092,40C
21/11/2023;NOTA FISCAL N§ 630154 ;3152;1123-00000834;;196,69;549.289,09C
22/11/2023;NOTA FISCAL N§ 625287 ;3152;1123-00000514;;270,1;549.559,19C
22/11/2023;NOTA FISCAL N§ 625287 ;3152;1123-00000732;;185,65;549.744,84C
22/11/2023;NOTA FISCAL N§ 631171 ;3152;1123-00000737;;514,61;550.259,45C
22/11/2023;NOTA FISCAL N§ 631066 ;3152;1123-00000748;;781,23;551.040,68C
22/11/2023;NOTA FISCAL N§ 631060 ;3152;1123-00000836;;618,49;551.659,17C
23/11/2023;NOTA FISCAL N§ 631615 ;3152;1123-00000695;;283,97;551.943,14C
23/11/2023;NOTA FISCAL N§ 632015 ;3152;1123-00000700;;126,21;552.069,35C
23/11/2023;NOTA FISCAL N§ 631809 ;3152;1123-00000744;;43,58;552.112,93C
23/11/2023;NOTA FISCAL N§ 631666 ;3152;1123-00000750;;548,4;552.661,33C
24/11/2023;NOTA FISCAL N§ 632318 ;3152;1123-00000697;;481,37;553.142,70C
24/11/2023;NOTA FISCAL N§ 632188 ;3152;1123-00000705;;251,63;553.394,33C
24/11/2023;NOTA FISCAL N§ 631648 ;3152;1123-00000754;;2.311,16;555.705,49C
24/11/2023;NOTA FISCAL N§ 631779 ;3152;1123-00000761;;140,99;555.846,48C
25/11/2023;NOTA FISCAL N§ 632978 ;3152;1123-00000696;;459,65;556.306,13C
25/11/2023;NOTA FISCAL N§ 632627 ;3152;1123-00000774;;98,27;556.404,40C
25/11/2023;NOTA FISCAL N§ 632744 ;3152;1123-00000801;;246;556.650,40C
25/11/2023;NOTA FISCAL N§ 632675 ;3152;1123-00000853;;37,18;556.687,58C
28/11/2023;NOTA FISCAL N§ 633633 ;3152;1123-00000480;;95,25;556.782,83C
28/11/2023;NOTA FISCAL N§ 633656 ;3152;1123-00000701;;55,06;556.837,89C
28/11/2023;NOTA FISCAL N§ 633571 ;3152;1123-00000738;;196,04;557.033,93C
29/11/2023;NOTA FISCAL N§ 633831 ;3152;1123-00000477;;74,18;557.108,11C
29/11/2023;NOTA FISCAL N§ 633831 ;3152;1123-00000729;;109,51;557.217,62C
29/11/2023;NOTA FISCAL N§ 633822 ;3152;1123-00000734;;1.708,60;558.926,22C
29/11/2023;NOTA FISCAL N§ 634097 ;3152;1123-00000806;;573,64;559.499,86C
30/11/2023;NOTA FISCAL N§ 635040 ;3152;1123-00000706;;515,98;560.015,84C
30/11/2023;NOTA FISCAL N§ 635157 ;3152;1123-00000717;;495,31;560.511,15C
30/11/2023;NOTA FISCAL N§ 635045 ;3152;1123-00000741;;390,76;560.901,91C
01/12/2023;NOTA FISCAL N§ 633865 ;3152;1223-00000586;;13;560.914,91C
04/12/2023;NOTA FISCAL N§ 635679 ;3152;1223-00000458;;48,79;560.963,70C
04/12/2023;NOTA FISCAL N§ 635612 ;3152;1223-00000547;;1.644,95;562.608,65C
04/12/2023;NOTA FISCAL N§ 635614 ;3152;1223-00000565;;3.114,59;565.723,24C
04/12/2023;NOTA FISCAL N§ 635514 ;3152;1223-00000566;;53,62;565.776,86C
04/12/2023;NOTA FISCAL N§ 635620 ;3152;1223-00000615;;267,65;566.044,51C
04/12/2023;NOTA FISCAL N§ 635544 ;3152;1223-00000618;;337,82;566.382,33C
05/12/2023;NOTA FISCAL N§ 636529 ;3152;1223-00000254;;164,58;566.546,91C
05/12/2023;NOTA FISCAL N§ 636529 ;3152;1223-00000422;;1.357,22;567.904,13C
05/12/2023;NOTA FISCAL N§ 636662 ;3152;1223-00000446;;1.676,11;569.580,24C
05/12/2023;NOTA FISCAL N§ 636395 ;3152;1223-00000572;;725,1;570.305,34C
05/12/2023;NOTA FISCAL N§ 636778 ;3152;1223-00000623;;339,81;570.645,15C
06/12/2023;NOTA FISCAL N§ 637339 ;3152;1223-00000597;;894,7;571.539,85C
07/12/2023;NOTA FISCAL N§ 637328 ;3152;1223-00000251;;92,27;571.632,12C
07/12/2023;NOTA FISCAL N§ 637540 ;3152;1223-00000253;;3.802,23;575.434,35C
07/12/2023;NOTA FISCAL N§ 637328 ;3152;1223-00000469;;1.995,60;577.429,95C
07/12/2023;NOTA FISCAL N§ 637540 ;3152;1223-00000500;;252,87;577.682,82C
08/12/2023;NOTA FISCAL N§ 639295 ;3152;1223-00000273;;128,88;577.811,70C
08/12/2023;NOTA FISCAL N§ 639414 ;3152;1223-00000281;;30,15;577.841,85C
08/12/2023;NOTA FISCAL N§ 639381 ;3152;1223-00000284;;130,59;577.972,44C
08/12/2023;NOTA FISCAL N§ 637942 ;3152;1223-00000423;;870,15;578.842,59C
08/12/2023;NOTA FISCAL N§ 638129 ;3152;1223-00000424;;867,22;579.709,81C
08/12/2023;NOTA FISCAL N§ 639295 ;3152;1223-00000461;;1.475,02;581.184,83C
08/12/2023;NOTA FISCAL N§ 639381 ;3152;1223-00000462;;456,34;581.641,17C
08/12/2023;NOTA FISCAL N§ 639285 ;3152;1223-00000503;;1.145,30;582.786,47C
08/12/2023;NOTA FISCAL N§ 639414 ;3152;1223-00000534;;724,9;583.511,37C
08/12/2023;NOTA FISCAL N§ 638534 ;3152;1223-00000549;;259,56;583.770,93C
08/12/2023;NOTA FISCAL N§ 638004 ;3152;1223-00000567;;1.734,24;585.505,17C
08/12/2023;NOTA FISCAL N§ 637866 ;3152;1223-00000628;;47,73;585.552,90C
09/12/2023;NOTA FISCAL N§ 639627 ;3152;1223-00000246;;76,32;585.629,22C
09/12/2023;NOTA FISCAL N§ 638918 ;3152;1223-00000259;;66,68;585.695,90C
09/12/2023;NOTA FISCAL N§ 639873 ;3152;1223-00000275;;92,27;585.788,17C
09/12/2023;NOTA FISCAL N§ 640165 ;3152;1223-00000279;;201,88;585.990,05C
09/12/2023;NOTA FISCAL N§ 638962 ;3152;1223-00000414;;280,21;586.270,26C
09/12/2023;NOTA FISCAL N§ 639792 ;3152;1223-00000419;;1.427,81;587.698,07C
09/12/2023;NOTA FISCAL N§ 638938 ;3152;1223-00000420;;99,68;587.797,75C
09/12/2023;NOTA FISCAL N§ 639220 ;3152;1223-00000433;;255,92;588.053,67C
09/12/2023;NOTA FISCAL N§ 639873 ;3152;1223-00000441;;89,07;588.142,74C
09/12/2023;NOTA FISCAL N§ 638978 ;3152;1223-00000457;;384,43;588.527,17C
09/12/2023;NOTA FISCAL N§ 640114 ;3152;1223-00000476;;215,82;588.742,99C
09/12/2023;NOTA FISCAL N§ 639146 ;3152;1223-00000507;;274,96;589.017,95C
09/12/2023;NOTA FISCAL N§ 639989 ;3152;1223-00000541;;598,53;589.616,48C
09/12/2023;NOTA FISCAL N§ 639072 ;3152;1223-00000542;;89,22;589.705,70C
09/12/2023;NOTA FISCAL N§ 639627 ;3152;1223-00000550;;296,73;590.002,43C
09/12/2023;NOTA FISCAL N§ 640234 ;3152;1223-00000599;;279,49;590.281,92C
09/12/2023;NOTA FISCAL N§ 638771 ;3152;1223-00000602;;225,22;590.507,14C
09/12/2023;NOTA FISCAL N§ 639033 ;3152;1223-00000607;;93,16;590.600,30C
09/12/2023;NOTA FISCAL N§ 639868 ;3152;1223-00000612;;332,75;590.933,05C
09/12/2023;NOTA FISCAL N§ 640165 ;3152;1223-00000617;;142,55;591.075,60C
09/12/2023;NOTA FISCAL N§ 637878 ;3152;1223-00000622;;504,95;591.580,55C
11/12/2023;NOTA FISCAL N§ 638996 ;3152;1223-00000425;;643,63;592.224,18C
11/12/2023;NOTA FISCAL N§ 639018 ;3152;1223-00000568;;386,68;592.610,86C
11/12/2023;NOTA FISCAL N§ 640146 ;3152;1223-00000592;;894,7;593.505,56C
11/12/2023;NOTA FISCAL N§ 640107 ;3152;1223-00000620;;648,01;594.153,57C
12/12/2023;NOTA FISCAL N§ 641324 ;3152;1223-00000283;;385,08;594.538,65C
12/12/2023;NOTA FISCAL N§ 640941 ;3152;1223-00000416;;202,09;594.740,74C
12/12/2023;NOTA FISCAL N§ 641324 ;3152;1223-00000438;;119,81;594.860,55C
12/12/2023;NOTA FISCAL N§ 641250 ;3152;1223-00000459;;360,67;595.221,22C
12/12/2023;NOTA FISCAL N§ 640907 ;3152;1223-00000504;;281,58;595.502,80C
12/12/2023;NOTA FISCAL N§ 640919 ;3152;1223-00000537;;83,94;595.586,74C
12/12/2023;NOTA FISCAL N§ 641194 ;3152;1223-00000585;;1.309,01;596.895,75C
12/12/2023;NOTA FISCAL N§ 640912 ;3152;1223-00000600;;310,68;597.206,43C
12/12/2023;NOTA FISCAL N§ 641204 ;3152;1223-00000619;;41,44;597.247,87C
14/12/2023;NOTA FISCAL N§ 642159 ;3152;1223-00000277;;83,41;597.331,28C
14/12/2023;NOTA FISCAL N§ 641933 ;3152;1223-00000280;;24,39;597.355,67C
14/12/2023;NOTA FISCAL N§ 641863 ;3152;1223-00000428;;259,68;597.615,35C
14/12/2023;NOTA FISCAL N§ 642964 ;3152;1223-00000431;;583,94;598.199,29C
14/12/2023;NOTA FISCAL N§ 641806 ;3152;1223-00000436;;84,86;598.284,15C
14/12/2023;NOTA FISCAL N§ 641933 ;3152;1223-00000524;;355,49;598.639,64C
14/12/2023;NOTA FISCAL N§ 641970 ;3152;1223-00000570;;48,39;598.688,03C
14/12/2023;NOTA FISCAL N§ 641631 ;3152;1223-00000588;;52,84;598.740,87C
14/12/2023;NOTA FISCAL N§ 642802 ;3152;1223-00000594;;88,91;598.829,78C
14/12/2023;NOTA FISCAL N§ 642743 ;3152;1223-00000595;;1.039,92;599.869,70C
14/12/2023;NOTA FISCAL N§ 642200 ;3152;1223-00000609;;309,02;600.178,72C
14/12/2023;NOTA FISCAL N§ 641834 ;3152;1223-00000627;;141,17;600.319,89C
15/12/2023;NOTA FISCAL N§ 643620 ;3152;1223-00000429;;89,22;600.409,11C
15/12/2023;NOTA FISCAL N§ 643604 ;3152;1223-00000494;;43,28;600.452,39C
15/12/2023;NOTA FISCAL N§ 643746 ;3152;1223-00000569;;596,67;601.049,06C
15/12/2023;NOTA FISCAL N§ 643492 ;3152;1223-00000621;;798,16;601.847,22C
15/12/2023;NOTA FISCAL N§ 643649 ;3152;1223-00000629;;572,35;602.419,57C
16/12/2023;NOTA FISCAL N§ 644410 ;3152;1223-00000556;;780,23;603.199,80C
16/12/2023;NOTA FISCAL N§ 644389 ;3152;1223-00000587;;1.419,79;604.619,59C
16/12/2023;NOTA FISCAL N§ 644375 ;3152;1223-00000613;;780,23;605.399,82C
17/12/2023;NOTA FISCAL N§ 644302 ;3152;1223-00000483;;302,91;605.702,73C
17/12/2023;NOTA FISCAL N§ 644566 ;3152;1223-00000544;;217,8;605.920,53C
17/12/2023;NOTA FISCAL N§ 644376 ;3152;1223-00000591;;341,89;606.262,42C
17/12/2023;NOTA FISCAL N§ 644273 ;3152;1223-00000625;;196,87;606.459,29C
17/12/2023;NOTA FISCAL N§ 644662 ;3152;1223-00000631;;282,02;606.741,31C
18/12/2023;NOTA FISCAL N§ 644150 ;3152;1223-00000439;;29,26;606.770,57C
18/12/2023;NOTA FISCAL N§ 644112 ;3152;1223-00000454;;117,34;606.887,91C
18/12/2023;NOTA FISCAL N§ 644536 ;3152;1223-00000488;;209,89;607.097,80C
18/12/2023;NOTA FISCAL N§ 644043 ;3152;1223-00000511;;162,98;607.260,78C
18/12/2023;NOTA FISCAL N§ 644234 ;3152;1223-00000626;;256,23;607.517,01C
18/12/2023;NOTA FISCAL N§ 644003 ;3152;1223-00000632;;337,82;607.854,83C
19/12/2023;NOTA FISCAL N§ 645197 ;3152;1223-00000418;;47,87;607.902,70C
19/12/2023;NOTA FISCAL N§ 645677 ;3152;1223-00000430;;3.987,31;611.890,01C
19/12/2023;NOTA FISCAL N§ 645653 ;3152;1223-00000456;;387,06;612.277,07C
19/12/2023;NOTA FISCAL N§ 645322 ;3152;1223-00000508;;615,82;612.892,89C
19/12/2023;NOTA FISCAL N§ 645387 ;3152;1223-00000509;;1.144,93;614.037,82C
19/12/2023;NOTA FISCAL N§ 645278 ;3152;1223-00000551;;254,08;614.291,90C
19/12/2023;NOTA FISCAL N§ 644952 ;3152;1223-00000554;;727,25;615.019,15C
19/12/2023;NOTA FISCAL N§ 645621 ;3152;1223-00000555;;1.294,69;616.313,84C
19/12/2023;NOTA FISCAL N§ 645253 ;3152;1223-00000608;;384,18;616.698,02C
19/12/2023;NOTA FISCAL N§ 645414 ;3152;1223-00000610;;270,85;616.968,87C
20/12/2023;NOTA FISCAL N§ 646158 ;3152;1223-00000543;;652,39;617.621,26C
20/12/2023;NOTA FISCAL N§ 646011 ;3152;1223-00000553;;1.099,57;618.720,83C
20/12/2023;NOTA FISCAL N§ 646325 ;3152;1223-00000560;;132,64;618.853,47C
20/12/2023;NOTA FISCAL N§ 646091 ;3152;1223-00000575;;247,66;619.101,13C
20/12/2023;NOTA FISCAL N§ 645831 ;3152;1223-00000624;;99,73;619.200,86C
21/12/2023;NOTA FISCAL N§ 647090 ;3152;1223-00000562;;525,91;619.726,77C
22/12/2023;NOTA FISCAL N§ 647381 ;3152;1223-00000255;;115,56;619.842,33C
22/12/2023;NOTA FISCAL N§ 647459 ;3152;1223-00000434;;164,93;620.007,26C
22/12/2023;NOTA FISCAL N§ 647381 ;3152;1223-00000453;;624,59;620.631,85C
22/12/2023;NOTA FISCAL N§ 647812 ;3152;1223-00000546;;386,88;621.018,73C
22/12/2023;NOTA FISCAL N§ 647359 ;3152;1223-00000564;;109,67;621.128,40C
22/12/2023;NOTA FISCAL N§ 647508 ;3152;1223-00000598;;141,41;621.269,81C
23/12/2023;NOTA FISCAL N§ 648274 ;3152;1223-00000417;;106,11;621.375,92C
23/12/2023;NOTA FISCAL N§ 648487 ;3152;1223-00000442;;275,58;621.651,50C
23/12/2023;NOTA FISCAL N§ 648110 ;3152;1223-00000482;;15,09;621.666,59C
23/12/2023;NOTA FISCAL N§ 648293 ;3152;1223-00000536;;1.150,08;622.816,67C
23/12/2023;NOTA FISCAL N§ 648048 ;3152;1223-00000548;;51,68;622.868,35C
23/12/2023;NOTA FISCAL N§ 648219 ;3152;1223-00000559;;89,22;622.957,57C
23/12/2023;NOTA FISCAL N§ 648183 ;3152;1223-00000561;;30,18;622.987,75C
23/12/2023;NOTA FISCAL N§ 648178 ;3152;1223-00000583;;253,86;623.241,61C
23/12/2023;NOTA FISCAL N§ 648575 ;3152;1223-00000584;;54,94;623.296,55C
23/12/2023;NOTA FISCAL N§ 648090 ;3152;1223-00000589;;88,53;623.385,08C
23/12/2023;NOTA FISCAL N§ 648254 ;3152;1223-00000590;;201,44;623.586,52C
23/12/2023;NOTA FISCAL N§ 648251 ;3152;1223-00000593;;659,4;624.245,92C
27/12/2023;NOTA FISCAL N§ 648631 ;3152;1223-00000252;;18,96;624.264,88C
27/12/2023;NOTA FISCAL N§ 649038 ;3152;1223-00000260;;131,8;624.396,68C
27/12/2023;NOTA FISCAL N§ 648996 ;3152;1223-00000579;;267,65;624.664,33C
27/12/2023;NOTA FISCAL N§ 648989 ;3152;1223-00000605;;361,42;625.025,75C
28/12/2023;NOTA FISCAL N§ 649611 ;3152;1223-00000596;;40,7;625.066,45C
28/12/2023;NOTA FISCAL N§ 648731 ;3152;1223-00000611;;86,53;625.152,98C
29/12/2023;NOTA FISCAL N§ 650333 ;3152;1223-00000540;;433,81;625.586,79C
30/12/2023;NOTA FISCAL N§ 650886 ;3152;1223-00000426;;544,35;626.131,14C
30/12/2023;NOTA FISCAL N§ 651175 ;3152;1223-00000432;;471,58;626.602,72C
30/12/2023;NOTA FISCAL N§ 651121 ;3152;1223-00000463;;69,8;626.672,52C
30/12/2023;NOTA FISCAL N§ 651111 ;3152;1223-00000480;;58,52;626.731,04C
30/12/2023;NOTA FISCAL N§ 651178 ;3152;1223-00000552;;649,6;627.380,64C
30/12/2023;NOTA FISCAL N§ 650755 ;3152;1223-00000573;;103,81;627.484,45C
30/12/2023;NOTA FISCAL N§ 650957 ;3152;1223-00000576;;488,94;627.973,39C
02/01/2024;PAGAMENTO DUPLICATA N§ 613294 ;92;0124-00000930;315,4;;627.657,99C
02/01/2024;PAGAMENTO DUPLICATA N§ 614211 ;92;0124-00000931;453,26;;627.204,73C
02/01/2024;PAGAMENTO DUPLICATA N§ 615017 ;92;0124-00000932;475,36;;626.729,37C
02/01/2024;PAGAMENTO DUPLICATA N§ 620896 ;92;0124-00000937;102,23;;626.627,14C
02/01/2024;PAGAMENTO DUPLICATA N§ 622227 ;92;0124-00000938;443,48;;626.183,66C
02/01/2024;PAGAMENTO DUPLICATA N§ 622274 ;92;0124-00000939;1.391,11;;624.792,55C
02/01/2024;PAGAMENTO DUPLICATA N§ 622308 ;92;0124-00000940;2.416,17;;622.376,38C
02/01/2024;PAGAMENTO DUPLICATA N§ 622322 ;92;0124-00000941;1.930,74;;620.445,64C
02/01/2024;PAGAMENTO DUPLICATA N§ 623887 ;92;0124-00000944;509,1;;619.936,54C
02/01/2024;PAGAMENTO DUPLICATA N§ 624001 ;92;0124-00000945;457,67;;619.478,87C
02/01/2024;NOTA FISCAL N§ 651202 ;3152;0124-00001451;;1.595,65;621.074,52C
02/01/2024;NOTA FISCAL N§ 651076 ;3152;0124-00001453;;2.550,75;623.625,27C
03/01/2024;PAGAMENTO DUPLICATA N§ 624721 ;92;0124-00000946;220,31;;623.404,96C
03/01/2024;NOTA FISCAL N§ 651889 ;3152;0124-00001425;;87,13;623.492,09C
04/01/2024;PAGAMENTO DUPLICATA N§ 625349 ;92;0124-00000950;356,41;;623.135,68C
04/01/2024;NOTA FISCAL N§ 652484 ;3152;0124-00001389;;232,5;623.368,18C
04/01/2024;NOTA FISCAL N§ 652484 ;3152;0124-00001457;;176,52;623.544,70C
04/01/2024;NOTA FISCAL N§ 651954 ;3152;0124-00001469;;103,81;623.648,51C
04/01/2024;NOTA FISCAL N§ 652203 ;3152;0124-00001485;;126,44;623.774,95C
05/01/2024;PAGAMENTO DUPLICATA N§ 622765 ;92;0124-00000942;49,73;;623.725,22C
05/01/2024;PAGAMENTO DUPLICATA N§ 622814 ;92;0124-00000943;216,45;;623.508,77C
05/01/2024;PAGAMENTO DUPLICATA N§ 626402 ;92;0124-00000953;172,05;;623.336,72C
05/01/2024;NOTA FISCAL N§ 652933 ;3152;0124-00001404;;375,43;623.712,15C
05/01/2024;NOTA FISCAL N§ 653041 ;3152;0124-00001465;;432,7;624.144,85C
05/01/2024;NOTA FISCAL N§ 653094 ;3152;0124-00001481;;161,38;624.306,23C
06/01/2024;NOTA FISCAL N§ 653437 ;3152;0124-00001443;;453,39;624.759,62C
06/01/2024;NOTA FISCAL N§ 653912 ;3152;0124-00001463;;655,77;625.415,39C
07/01/2024;NOTA FISCAL N§ 653459 ;3152;0124-00001472;;1.253,74;626.669,13C
08/01/2024;PAGAMENTO DUPLICATA N§ 617067 ;92;0124-00000933;101,01;;626.568,12C
08/01/2024;PAGAMENTO DUPLICATA N§ 618095 ;92;0124-00000934;144,13;;626.423,99C
08/01/2024;PAGAMENTO DUPLICATA N§ 624870 ;92;0124-00000947;394,47;;626.029,52C
